date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-06-28,ecija,42000,0.0,40.0,0.0
2010-06-28,granada_capital,55000,0.0,35.3,0.0
2010-06-28,jaen_capital,165000,0.0,35.9,0.0
2010-06-28,linares,45000,0.0,36.8,0.0
2010-06-28,lucena,88000,0.0,36.8,0.0
2010-06-28,martos,68000,0.0,35.3,0.0
2010-06-28,sevilla_capital,75000,0.0,39.3,0.0
2010-06-28,ubeda,98000,0.0,34.3,0.0
2010-07-05,antequera,35000,0.0,35.0,0.0
2010-07-05,baeza,72000,0.0,39.3,0.0
2010-07-05,baza,28000,0.0,37.4,0.0
2010-07-05,cabra,52000,0.0,39.9,0.0
2010-07-05,cordoba_capital,140000,0.0,40.1,0.0
2010-07-05,ecija,42000,0.0,39.6,0.0
2010-07-05,granada_capital,55000,0.0,38.4,0.0
2010-07-05,jaen_capital,165000,0.0,40.5,0.0
2010-07-05,linares,45000,0.0,40.9,0.0
2010-07-05,lucena,88000,0.0,37.9,0.0
2010-07-05,martos,68000,0.0,38.4,0.0
2010-07-05,sevilla_capital,75000,0.0,40.6,0.0
2010-07-05,ubeda,98000,0.0,39.8,0.0
2010-07-12,antequera,35000,0.0,34.6,0.0
2010-07-12,baeza,72000,0.0,35.5,0.0
2010-07-12,baza,28000,0.0,35.9,0.0
2010-07-12,cabra,52000,0.0,36.5,0.0
2010-07-12,cordoba_capital,140000,0.0,38.2,0.0
2010-07-12,ecija,42000,0.0,38.5,0.0
2010-07-12,granada_capital,55000,0.0,35.5,0.0
2010-07-12,jaen_capital,165000,0.0,36.9,0.0
2010-07-12,linares,45000,0.0,37.4,0.0
2010-07-12,lucena,88000,0.0,36.1,0.0
2010-07-12,martos,68000,0.0,35.6,0.0
2010-07-12,sevilla_capital,75000,0.0,38.1,0.0
2010-07-12,ubeda,98000,0.0,36.0,0.0
2010-07-19,antequera,35000,0.0,34.0,0.0
2010-07-19,baeza,72000,0.0,34.4,0.0
2010-07-19,baza,28000,0.0,35.5,0.0
2010-07-19,cabra,52000,0.0,36.2,0.0
2010-07-19,cordoba_capital,140000,0.0,38.4,0.0
2010-07-19,ecija,42000,0.0,38.6,0.0
2010-07-19,granada_capital,55000,0.0,34.8,0.0
2010-07-19,jaen_capital,165000,0.0,35.9,0.0
2010-07-19,linares,45000,0.0,36.5,0.0
2010-07-19,lucena,88000,0.0,35.9,0.0
2010-07-19,martos,68000,0.0,34.8,0.0
2010-07-19,sevilla_capital,75000,0.0,38.2,0.0
2010-07-19,ubeda,98000,0.0,34.9,0.0
2010-07-26,antequera,35000,0.0,36.0,0.0
2010-07-26,baeza,72000,0.0,35.6,0.0
2010-07-26,baza,28000,0.0,34.9,0.0
2010-07-26,cabra,52000,0.0,36.3,0.0
2010-07-26,cordoba_capital,140000,0.0,38.8,0.0
2010-07-26,ecija,42000,0.0,38.7,0.0
2010-07-26,granada_capital,55000,0.0,35.0,0.0
2010-07-26,jaen_capital,165000,0.0,37.3,0.0
2010-07-26,linares,45000,0.0,37.9,0.0
2010-07-26,lucena,88000,0.0,35.7,0.0
2010-07-26,martos,68000,0.0,35.9,0.0
2010-07-26,sevilla_capital,75000,0.0,39.1,0.0
2010-07-26,ubeda,98000,0.0,35.8,0.0
2010-08-02,antequera,35000,0.0,33.7,0.0
2010-08-02,baeza,72000,0.0,35.4,0.0
2010-08-02,baza,28000,0.0,35.4,0.0
